iteration,loss,overall accuracy,mean accuracy,mean IU,fwavacc
4000,89022.0729383,0.760906780271,0.695251892072,0.551953431845,0.62821109093
8000,89227.2741341,0.746733253805,0.718984116597,0.552659021035,0.616175051571
12000,88393.0895306,0.749571095456,0.724892732963,0.557427884217,0.619759428515
16000,78880.0869685,0.78487557902,0.701436683097,0.572648917736,0.653527838263
20000,76811.9317216,0.788690975029,0.676521587839,0.558559349706,0.650941495194
24000,74142.183607,0.797308707995,0.720611349428,0.593467961723,0.670277327326
28000,74167.8020683,0.799079176298,0.74308703423,0.607223682355,0.676307197608
32000,74553.6371155,0.79839022948,0.722557032665,0.595459179254,0.671807028778
36000,72947.4820709,0.808055205613,0.74962420312,0.618495613708,0.687319569507
40000,74354.3964758,0.809563877176,0.733658381653,0.611058299131,0.68593247142
44000,73974.021016,0.809693402486,0.723130803517,0.604854396515,0.683738901738
48000,75196.7875837,0.803156931118,0.757051539154,0.61777236462,0.683003759997
52000,86066.1674221,0.801002118479,0.767500021136,0.620593229694,0.681929389723
56000,87271.3671676,0.811728445767,0.742767572005,0.618075628084,0.690112382312
60000,89778.490866,0.810720290643,0.745671322916,0.61877561774,0.689559870772
64000,104590.188605,0.807083777831,0.77660483219,0.420259297885,0.690098732776
68000,106957.360849,0.810013277248,0.766972062576,0.419236597469,0.692250509801
72000,117684.55817,0.815190668306,0.744923704734,0.414882044148,0.694326744562
76000,123458.948254,0.814103397636,0.759695007922,0.419440935497,0.695802337269
80000,120356.968782,0.815087608524,0.751159205112,0.417090213643,0.695410233896
84000,125591.11484,0.814771981415,0.76381300162,0.421225799298,0.69723152889
88000,126361.250156,0.817445658106,0.758596241262,0.421143513022,0.699395960965
92000,134897.447471,0.817757840521,0.763401514856,0.422971729549,0.700573072659
96000,137952.584532,0.818040337543,0.770429567166,0.425454725732,0.702023965226
100000,137289.240246,0.817140525671,0.754624571718,0.419569746916,0.698340398749
104000,142667.541576,0.81883692904,0.761978489682,0.423172111544,0.701561463405
108000,145835.819865,0.818638831034,0.762917225495,0.423365355607,0.701496496811
112000,146914.041592,0.818614902857,0.76248539986,0.423204360221,0.701395794293
116000,148638.227324,0.818943529872,0.763048129614,0.423602089345,0.701866134482
120000,149899.569203,0.818866823202,0.761431663381,0.423004839315,0.701501241082
124000,149622.056813,0.819019770825,0.761007665103,0.422955899054,0.701601163543
128000,150727.818763,0.81888407879,0.760383054778,0.422656525308,0.701337935247
132000,149993.810755,0.817992176064,0.764498540569,0.4234866587,0.701023343428
136000,152999.467168,0.818957959044,0.761196947145,0.422982035493,0.701564156265
140000,151770.45667,0.818763040756,0.761574873614,0.422988465351,0.701408116877
144000,153467.976585,0.819100147017,0.759670069248,0.422546068261,0.70145699673
148000,153592.804593,0.818807107144,0.761482635566,0.422984738738,0.701442273441
152000,154532.090724,0.818886471608,0.762336124218,0.423325139197,0.701679719857
156000,155108.513322,0.819139355503,0.75950662715,0.422514111636,0.701472435131
160000,154510.095123,0.818893369025,0.761053638271,0.422892398498,0.701465836036
